Reference,Value,Footprint,Populate,Color,Connector,Position
TP1,COIL_A,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Red,1C2,1
TP2,COIL_B,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Blue,1C2,2
TP6,GND,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Black,2C4,1
TP3,VBUS,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Yellow,2C4,2
TP5,VBAT,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,White,2C4,3
TP7,VSYS,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Red,2C4,4
TP12,LED_DIN,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Black,3C3,1
TP13,SSW_RAW,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Green,3C3,2
TP14,SSW,TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,White,3C3,3
TP4,~{IND},TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Blue,4C3,1
TP8,~{CHRG},TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Green,4C3,2
TP9,~{PGOOD},TestPoint:TestPoint_Pad_D1.0mm,PogoPin:P75B1,Yellow,4C3,3
J4,UPDI,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PogoPin:P75E2,Green,5C3,1
J6,GND,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PogoPin:P75E2,Black,5C3,2
J5,VSYS,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PogoPin:P75E2,Red,5C3,3
J1,COIL_A,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,None,,,
J2,COIL_B,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,None,,,
